,source,target,edge,url,journalName
0,strategy,energy,solve,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
1,waste,energy,meet,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
2,waste,polystyrene bead graphene oxide,expand,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
3,aam,rgo,eps,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
4,rgo,sample vol,compare,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
5,bead rgo,structural functional application future,realize,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
6,energy,considerable co2 emission,generate,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
7,density ggbfs,determine,sf,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
8,silica fume,gb t gb t,conform,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
9,silica fume,wuhan technology development company limit,obtain,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
10,density ggbfs,determine,sf,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
11,figure important factor,thermal conductivity porous material,affect,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
12,rgo content,study,adopt,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
13,conceive,paper,write,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
14,experiment,datum,analyze,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
15,author read,version manuscript.w,agree publish,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
16,conceive,paper,write,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
17,experiment,datum,analyze,https://www.mdpi.com/1996-1944/13/5/1052/htm,kg-mdpi-Sustainability
18,apartments,maintenance,south korea,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
19,neighborhood,new building,replace,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
20,framework refurbishment,building seoul,exist,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
21,energy,comfort,cooling,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
22,order,energy,reduce,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
23,difference,building,exist,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
24,research,energy,illustrate,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
25,guideline,building optimization process,furthermore streamline provide,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
26,population,apartment construct,live early,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
27,apartment building,seoul,locate,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
28,apartment building,seoul,locate,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
29,energy,compare,reduce,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
30,improvement,building envelope,achieve,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
31,improvement,building envelope,achieve,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
32,building envelope,air tightness,include,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
33,building envelope,improvement value,include,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
34,indoor comfort.the research,f.m.a,execute,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
35,building envelope,reduction environmental impact,relate,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
36,manuscript.the research,f.m.a,execute,https://www.mdpi.com/2071-1050/10/12/4494/htm,kg-mdpi-Sustainability
37,target,energy,reduce,https://www.mdpi.com/1996-1073/10/7/993/htm,kg-mdpi-Sustainability
38,energy,portion,realize,https://www.mdpi.com/1996-1073/10/7/993/htm,kg-mdpi-Sustainability
39,propose,design,automate,https://www.mdpi.com/1996-1073/10/7/993/htm,kg-mdpi-Sustainability
40,user,design,define,https://www.mdpi.com/1996-1073/10/7/993/htm,kg-mdpi-Sustainability
41,user,design,define,https://www.mdpi.com/1996-1073/10/7/993/htm,kg-mdpi-Sustainability
42,algorithm,user requirement geometric constraint,satisfy,https://www.mdpi.com/1996-1073/10/7/993/htm,kg-mdpi-Sustainability
